device_id,datekey,low_rpm_significant_hr,PercTimeSignificant,total_time_hr,usage_time_hr,Som van total_daily_fuel_ltr,PercTimeStationair
50019,20240504,0,0.00%,7.1116666667,6.485278,144.5,0.00%
50019,20240516,0,0.00%,8.5986111167,6.990833,174,2.16%
50019,20240524,0,0.00%,7.6161111167,6.034722,158,1.42%
50019,20240527,0,0.00%,8.65805555,7.052222,116,0.00%
50019,20240528,0,0.00%,7.9288888833,5.807222,156.5,2.65%
50019,20240529,0,0.00%,7.0363888833,5.363056,94.5,5.74%
50019,20240530,0,0.00%,8.4827777833,6.933889,161,2.22%
50019,20240604,0,0.00%,8.9766666667,7.083889,153.5,4.82%
50019,20240605,0,0.00%,9.72305555,7.565556,121.5,14.04%
50019,20240606,0,0.00%,9.85,7.328056,155.5,7.18%
50019,20240607,0,0.00%,9.6016666667,7.310556,136,7.59%
50019,20240610,0,0.00%,9.8716666667,8.043056,132.5,11.48%
50019,20240611,0,0.00%,9.7747222167,7.795,151.5,13.90%
50019,20240612,0,0.00%,9.585,7.452778,168,2.13%
50019,20240613,0,0.00%,11.1836111167,7.889722,168.5,10.29%
50019,20240617,0,0.00%,10.1761111167,8.450556,0,15.38%
50019,20240618,0,0.00%,10.1633333333,8.788889,343,9.38%
50019,20240621,0,0.00%,9.1108333333,5.164444,78.5,19.87%
50019,20240626,0,0.00%,10.8938888833,10.028333,192.5,9.37%
50019,20240627,0,0.00%,10.33305555,9.531667,0,8.22%
50019,20240628,0,0.00%,9.66805555,8.828889,97.5,3.49%
50019,20240701,0,0.00%,10.2858333333,9.134444,199.5,4.42%
50019,20240702,0,0.00%,10.2447222167,9.452222,246.5,2.54%
50019,20240703,0,0.00%,10.0747222167,9.231111,282,3.48%
50019,20240704,0,0.00%,10.05694445,7.104722,186,6.26%
50019,20240705,0,0.00%,9.3747222167,7.008056,168,4.33%
50019,20240716,0,0.00%,11.15694445,9.319444,173,10.07%
50019,20240717,0,0.00%,10.94444445,9.004722,147.5,10.36%
50019,20240718,0,0.00%,9.9636111167,8.351111,156,11.91%
50019,20240719,0,0.00%,9.54944445,7.491667,121.5,8.58%
50019,20240722,0,0.00%,9.64,7.4225,146,13.59%
50019,20240723,0,0.00%,10.2163888833,7.574167,150,1.58%
50019,20240724,0,0.00%,10.08444445,7.776389,150,9.40%
50019,20240725,0,0.00%,10.1686111167,7.119444,124.5,4.08%
50019,20240801,0,0.00%,10.53055555,7.085833,118,12.30%
50019,20240802,0,0.00%,10.2002777833,10.200278,212,10.06%
50019,20240806,0,0.00%,9.4211111167,8.8175,177,14.74%
50019,20240807,0,0.00%,9.4141666667,8.835278,143.5,11.41%
50019,20240808,0,0.00%,9.285,8.2525,118.5,12.84%
50019,20240822,0,0.00%,5.1611111167,4.300278,181,0.00%
50019,20240826,0,0.00%,5.6252777833,4.6,95,0.00%
50019,20240909,0,0.00%,8.6886111167,6.84,128.5,4.61%
50019,20240910,0,0.00%,9.09305555,7.598889,140.5,5.62%
50019,20240911,0,0.00%,8.76694445,7.387222,117.5,1.85%
50019,20240912,0,0.00%,9.335,8.953333,183,13.88%
50019,20240913,0,0.00%,7.88805555,6.183056,137.5,14.37%
50019,20240916,0,0.00%,8.5447222167,7.070833,95,10.78%
50019,20240917,0,0.00%,9.12694445,7.095,106.5,9.72%
50019,20240919,0,0.00%,9.2833333333,7.900833,107.5,13.26%
50019,20240920,0,0.00%,9.0002777833,7.652778,112,7.15%
50019,20240925,0,0.00%,9.1188888833,7.623056,17,17.26%
50019,20240926,0,0.00%,9.16,7.312778,98,8.65%
50019,20240927,0,0.00%,8.8675,7.336389,93.5,12.81%
50019,20240930,0,0.00%,8.3502777833,7.1075,88.5,15.83%
50019,20241001,0,0.00%,9.275,8.176389,92,5.85%
50019,20241002,0,0.00%,9.1147222167,7.448333,138,11.70%
50019,20241003,0,0.00%,9.145,7.096389,102,13.73%
50019,20241004,0,0.00%,8.5686111167,6.6625,139,3.21%
50019,20241007,0,0.00%,8.5125,6.906389,111.5,4.70%
50019,20241008,0,0.00%,9.2327777833,7.415278,150,10.83%
50019,20241009,0,0.00%,9.1266666667,7.446667,161.5,8.26%
50019,20241016,0,0.00%,8.6747222167,7.021389,174,5.36%
50019,20241017,0,0.00%,8.74694445,7.0425,128.5,1.13%
50019,20241018,0,0.00%,8.6713888833,7.052778,162,0.00%
50019,20241021,0,0.00%,8.7152777833,7.255556,195,9.90%
50019,20241022,0,0.00%,6.4522222167,5.571944,88,20.25%
50019,20241024,0,0.00%,8.18444445,6.363333,145,0.27%
50019,20241025,0,0.00%,8.69055555,7.083611,123,0.24%
50019,20241028,0,0.00%,9.33444445,7.915833,144,12.49%
50019,20241030,0,0.00%,9.4058333333,7.9375,194.5,11.63%
50019,20241031,0,0.00%,8.8161111167,7.121389,159.5,10.08%
50019,20241101,0,0.00%,8.9013888833,7.276111,187.5,7.75%
50019,20241106,0,0.00%,8.6777777833,6.51,140,7.09%
50019,20241108,0,0.00%,8.36,6.548333,103.5,4.31%
50019,20241111,0,0.00%,8.5422222167,6.851389,168,6.24%
50019,20241113,0,0.00%,8.4891666667,6.343611,153,6.20%
50019,20241115,0,0.00%,7.6177777833,5.093889,101.5,8.06%
50019,20241119,0,0.00%,9.2066666667,7.970556,126.5,8.44%
50019,20241121,0,0.00%,9.07055555,8.269167,174.5,9.10%
50019,20241126,0,0.00%,8.8,4.893889,65,16.42%
50019,20241127,0,0.00%,8.6716666667,7.381944,157.5,8.11%
50019,20241205,0,0.00%,8.6397222167,5.852222,85,5.88%
50019,20241206,0,0.00%,9.37555555,6.858611,121.5,1.25%
50019,20241209,0,0.00%,9.30555555,7.5625,175.5,8.60%
50019,20241210,0,0.00%,9.20694445,6.822778,159,10.02%
50019,20241216,0,0.00%,9.2852777833,7.824722,157.5,11.65%
50019,20241217,0,0.00%,9.09805555,7.103056,138.5,12.98%
50019,20250114,0,0.00%,8.2997222167,6.267778,162,3.55%
50019,20250124,0,0.00%,9.3758333333,8.254444,164.5,10.58%
50019,20250127,0,0.00%,9.4775,8.460833,159,11.11%
50019,20250128,0,0.00%,9.1497222167,7.968056,136.5,11.51%
50019,20250129,0,0.00%,9.3041666667,7.520833,145,16.63%
50019,20250130,0,0.00%,9.36444445,7.635556,154.5,16.14%
50019,20250205,0,0.00%,9.4636111167,7.6925,145.5,11.08%
50019,20250206,0,0.00%,9.5347222167,8.061389,210,10.82%
50019,20250212,0,0.00%,9.20944445,7.536111,167.5,8.62%
50019,20250222,0,0.00%,17.4616666667,16.104722,281.5,4.55%
50019,20250224,0,0.00%,8.5108333333,7.481944,81.5,4.57%
50019,20250226,0,0.00%,9.4927777833,7.891667,154,12.02%
50019,20250227,0,0.00%,9.5991666667,8.063889,98,9.54%
50019,20250228,0,0.00%,10.0633333333,7.878889,116,9.98%
50019,20250310,0,0.00%,8.06,7.336389,125.5,4.47%
50019,20250311,0,0.00%,9.31694445,8.173611,116,3.34%
50019,20250313,0,0.00%,9.2336111167,7.880833,164,6.73%
50019,20250315,0,0.00%,10.7163888833,9.827778,180.5,3.29%
50019,20250317,0,0.00%,9.69694445,6.772778,87,11.82%
50019,20250318,0,0.00%,8.9711111167,7.596389,96,6.53%
50019,20250319,0,0.00%,8.0602777833,6.152778,74.5,5.55%
50019,20250320,0,0.00%,8.2186111167,6.197222,71,9.10%
50019,20250321,0,0.00%,7.7511111167,6.241389,72.5,8.76%
50019,20250325,0,0.00%,8.0833333333,5.509722,108,8.09%
50019,20250401,0,0.00%,11.6111111167,10.345,226.5,17.79%
50019,20250402,0,0.00%,11.4125,9.374722,236,6.98%
50019,20250404,0,0.00%,9.4441666667,7.601667,196,9.54%
50019,20250407,0,0.00%,11.8252777833,10.574722,245.5,12.79%
50019,20250408,0,0.00%,9.6186111167,8.268611,184,8.04%
50019,20250409,0,0.00%,11.8847222167,10.595556,245.5,3.52%
50019,20250410,0,0.00%,11.6472222167,10.301389,245.5,9.55%
50019,20250414,0,0.00%,9.93555555,8.1875,211.5,4.48%
50019,20250415,0,0.00%,11.5061111167,8.503056,180.5,16.69%
50019,20250422,0,0.00%,9.4688888833,8.249722,197,1.24%
50019,20250423,0,0.00%,9.5702777833,8.46,157.5,2.02%
50019,20250424,0,0.00%,9.4752777833,8.836389,163,5.03%
50019,20250425,0,0.00%,10.3011111167,8.353611,208,0.00%
50019,20250519,0,0.00%,8.4875,6.316944,126.5,5.31%
50019,20250520,0,0.00%,8.3066666667,5.679722,100.5,7.53%
50019,20250602,0,0.00%,8.9138888833,7.932222,95.5,4.83%
50019,20250614,0,0.00%,7.0558333333,5.686944,123,9.91%
50019,20250616,0,0.00%,12.7097222167,9.657222,227.5,8.68%
50019,20250718,0,0.00%,9.78305555,4.611667,4.5,12.23%
50019,20250719,0,0.00%,7.20555555,5.845556,170.5,6.72%
50019,20250722,0,0.00%,9.9097222167,9.316667,215,8.08%
50019,20250725,0,0.00%,9.3808333333,7.256389,184,8.48%
50019,20250729,0,0.00%,9.8111111167,9.811111,173,8.16%
50019,20250805,0,0.00%,9.4552777833,9.455278,182.5,7.78%
50019,20250808,0,0.00%,7.5083333333,6.172778,127.5,10.53%
50019,20250811,0,0.00%,9.245,7.734722,214,12.13%
50019,20250813,0,0.00%,8.6622222167,6.321389,79,9.81%
50019,20250815,0,0.00%,8.45694445,5.859722,126.5,9.92%
50019,20250818,0,0.00%,8.3283333333,6.941944,108.5,21.32%
50019,20250910,0,0.00%,8.9702777833,7.965278,208,4.08%
50019,20250911,0,0.00%,9.1233333333,8.255833,192,4.56%
50019,20250912,0,0.00%,8.89194445,7.935278,183,5.81%
50019,20250916,0,0.00%,8.7202777833,7.201389,213.5,0.00%
50019,20250917,0,0.00%,9.9566666667,8.508611,225,10.44%
50019,20250918,0,0.00%,9.8191666667,8.593889,239.5,9.95%
50019,20250922,0,0.00%,10.06694445,9.009167,233,11.34%
50019,20250923,0,0.00%,10.2508333333,9.035556,264.5,8.89%
50019,20250924,0,0.00%,9.6725,8.241667,205.5,15.56%
50019,20250925,0,0.00%,10.0308333333,8.756389,243.5,10.93%
50019,20250926,0,0.00%,9.7683333333,8.333889,203,12.63%
50019,20250930,0,0.00%,10.18944445,8.829444,199,10.65%
50019,20251001,0,0.00%,9.9991666667,9.052778,182,18.89%
50019,20251002,0,0.00%,9.78444445,8.459722,188.5,10.51%
50019,20251003,0,0.00%,10.4725,9.067222,211,10.18%
50019,20251006,0,0.00%,8.0811111167,6.37,139.5,9.93%
50019,20251007,0,0.00%,8.1041666667,6.173889,109.5,1.93%
50019,20251015,0,0.00%,8.4458333333,6.173056,92,7.28%
50019,20251021,0,0.00%,8.6297222167,6.636111,145.5,1.55%
50019,20251028,0,0.00%,7.6486111167,5.403889,109.5,3.80%
50019,20251112,0,0.00%,8.05805555,5.557778,147,3.38%
50019,20251114,0,0.00%,7.4052777833,4.969444,84.5,3.18%
50019,20240805,0.205,2.14%,9.585,9.585,146.5,14.27%
50019,20240715,0.205,2.51%,10.0313888833,8.181944,162.5,16.03%
50019,20240918,0.205,2.60%,9.1061111167,7.889167,150,9.23%
50019,20250131,0.205,2.62%,9.4188888833,7.828333,137.5,13.33%
50019,20251113,0.205,3.52%,8.8777777833,5.825,115,15.26%
50019,20250326,0.205,3.54%,7.7725,5.789444,113,21.26%
50019,20240521,0.205278,2.20%,10.7025,9.3475,196.5,4.03%
50019,20251105,0.205278,2.52%,9.2608333333,8.150556,152.5,14.27%
50019,20250120,0.205278,2.64%,9.34944445,7.781667,119,6.29%
50019,20231113,0.205278,2.66%,8.6641666667,7.728611,144,2.97%
50019,20250327,0.205278,2.68%,9.0597222167,7.657222,94,23.66%
50019,20250715,0.205278,2.77%,9.2075,7.417222,133.5,14.76%
50019,20231019,0.205278,2.99%,9.3227777833,6.8625,119,5.48%
50019,20231102,0.205278,4.13%,6.7986111167,4.965,78.5,6.20%
50019,20241107,0.221944,3.79%,8.4516666667,5.861111,81.5,14.10%
50019,20250218,0.222222,2.74%,11.0022222167,8.118333,149,11.05%
50019,20241118,0.222222,2.79%,9.1152777833,7.967222,116.5,14.80%
50019,20240726,0.222222,2.91%,9.95555555,7.627222,113,8.14%
50019,20240318,0.222222,3.27%,8.2125,6.794444,149,3.27%
50019,20251016,0.222222,4.18%,7.2336111167,5.321111,102,8.68%
50019,20240124,0.2225,3.04%,8.485,7.320833,0,5.37%
50019,20231206,0.2225,3.66%,8.3425,6.073056,101.5,13.12%
50019,20250204,0.235,3.32%,9.6811111167,7.069722,113,14.24%
50019,20250403,0.239167,2.50%,11.4702777833,9.554444,255,11.90%
50019,20250219,0.239167,2.96%,9.4925,8.073056,169.5,7.62%
50019,20240816,0.239444,3.08%,8.1988888833,7.773611,165.5,13.39%
50019,20240328,0.239444,3.43%,8.215,6.974722,171.5,6.87%
50019,20240326,0.239444,3.47%,8.2902777833,6.908333,133.5,5.70%
50019,20250515,0.239444,4.01%,7.88444445,5.973889,99.5,9.10%
50019,20240729,0.256111,3.42%,10.3263888833,7.489722,121,8.36%
50019,20250603,0.256389,2.93%,9.02305555,8.751667,103,11.92%
50019,20250217,0.256389,3.12%,9.4,8.218056,169.5,9.15%
50019,20250115,0.256667,3.91%,8.4641666667,6.558333,162.5,9.13%
50019,20231127,0.256667,4.17%,7.7108333333,6.161667,65.5,8.33%
