nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,SensorSupplier,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,countRowsValid,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,duration_from_rows_valid,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250902,FleetsonlineV2,65509,68222,1.0,2.5,0.0185,0.883333,2.701,0.019002,3658,3658,2.9760213862296125,0.07314347078344165,7.8171368025632955,1.0161111111111112,1.0161111111111112,0.027080144681022454,0.08280396043557939,3.057737,0.1027810756302521,2.849251172689277,0.035739653180000004,0.016424294718991636,0.02925738831337666,0.07314347078344165,2.5,0.08403361344537816,2.9537011234292785,0.035739653180000004,0.012483938449181173,0.024577602540722575,0.07198374073643692,2.928834926725144,0.09844823283109727,0.02115107048563991,2.458145101123885,0.022020784631413364,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250904,FleetsonlineV2,65509,68222,1.85,4.0,0.03085,1.85,5.213,0.0374,6289,6289,4.642642467534783,0.13708075824470575,12.194862396499392,1.7469444444444444,1.7469444444444444,0.026295944416786062,0.0740977071593004,2.817838,0.094717243697479,2.6652609156338434,0.07485100000000001,0.018431447199432124,0.03427018956117644,0.0740977071593004,2.162162,0.07267771428571428,3.4434605589856,0.07485100000000001,0.0022658922583120838,0.029526451628202777,0.07846889095741234,2.65757944589797,0.0893304015427889,0.03380498932468784,3.055045157035309,0.011641216677689019,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250905,FleetsonlineV2,65509,68222,0.25,1.0,0.00665,0.3,1.042,0.007127,678,678,0.6716287041135526,0.020060858168179197,1.7641719528217374,0.18833333333333332,0.18833333333333332,0.019252263117254507,0.066869527227264,3.473333,0.11675068907563024,1.8147689305709553,0.012138,0.03301581789163983,0.020060858168179197,0.08024343267271679,4.0,0.13445378151260504,2.0166704012299546,0.012138,0.030845960503958273,0.029868970824670858,0.10651801950895062,3.5661764221541237,0.11987147637492852,0.004568460002213188,3.3911642344380217,0.009854545760959534,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250908,FleetsonlineV2,65509,68222,1.4,3.0,0.0232,1.4,3.589,0.026381,4849,4849,3.348122566020235,0.10256543469699748,8.794537650647866,1.3469444444444445,1.3469444444444445,0.02857771933602605,0.07326102478356963,2.563571,0.08617045378151261,2.887852420188677,0.05664400000000001,0.013853662339638332,0.034188478232332495,0.07326102478356963,2.142857,0.07202880672268906,3.4209239093533403,0.05664400000000001,0.0024888154369583425,0.03063371566439172,0.07614676979666378,2.485717718049329,0.08355353674115391,0.024814581856509282,3.1332727381861103,0.009516903936880974,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250909,FleetsonlineV2,65509,68222,4.2,21.0,0.1344,4.166667,26.257,0.162621,14554,14554,22.216253638936525,0.1050612041616445,58.355593390420665,4.042777777777777,4.042777777777777,0.004001264583221407,0.02521468698161972,6.301679,0.21182114285714285,-0.35395057119532836,0.16858334682000004,0.06476556941654943,0.005002914483887833,0.025014572419439163,5.0,0.16806722689075632,-0.21829461189252608,0.16858334682000004,0.0630371424263308,0.004729024338177015,0.02598737901552954,5.495293988177566,0.1847157643084896,0.1401816596502573,-0.250535309513639,0.0634366197613887,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250910,FleetsonlineV2,65509,68222,1.35,3.0,0.02295,1.366667,3.991,0.028384,4156,4156,3.2848840146370906,0.09027813918074815,8.628428492412153,1.1544444444444444,1.1544444444444444,0.02262043076440695,0.06605715889880134,2.920243,0.09815942857142858,2.180599604733235,0.05529534682000001,0.02628624231654475,0.030092713060249382,0.06687269568944307,2.222222,0.07469653781512604,2.933687981731945,0.05529534682000001,0.011211493347283951,0.027482900089768298,0.07820053565244234,2.8454251697242054,0.09564454352014136,0.023510593679040293,2.839891940339693,0.015813709890385094,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250911,FleetsonlineV2,65509,68222,0.9,2.5,0.018,0.916667,2.77,0.019541,3146,3146,2.4138210064440293,0.07158423195666104,6.340401017137797,0.8738888888888889,0.8738888888888889,0.02584268301684514,0.07809186101022622,3.021817,0.1015736806722689,2.6632839648258044,0.03708834682,0.019156151344638953,0.028633692782664415,0.07953803550740116,2.777778,0.09337068907563026,2.976901775370058,0.03708834682,0.01340501568985996,0.0296559818501691,0.08191455889324735,2.762159732464912,0.09284570529293822,0.01740407843479777,3.1130722448098886,0.011204773624723897,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250912,FleetsonlineV2,65509,68222,0.1,0.0,,0.083333,0.345,0.00228,222,222,0.24474201751332259,0.006724131550035453,0.6428656195447704,0.06166666666666667,0.06166666666666667,0.01949023637691436,0.08068990136003087,4.140017,0.13916023529411767,1.949180504401515,0.0033716531800000006,0.03199665059839034,,0.06724131550035453,0.0,0.0,,0.0033716531800000006,,0.027474365122733466,0.10903938167959287,3.9687680203889046,0.13340396707189595,0.001629941894571942,3.1253811393082547,0.014751025383856194,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250915,FleetsonlineV2,65509,68222,0.8,2.5,0.0175,0.8,2.735,0.018769,2791,2791,2.3951169265943415,0.06577409485535496,6.291270875927215,0.7752777777777777,0.7752777777777777,0.02404902919757037,0.0822176185691937,3.41875,0.11491596638655463,2.504400599677924,0.032368,0.022638029683367814,0.026309637942141983,0.0822176185691937,3.125,0.10504201680672269,2.758519706020283,0.032368,0.018022526212734813,0.02746174690889947,0.08483936711135226,3.089365268451241,0.1038442107042434,0.01681002140360946,2.912790666716932,0.015558062006629772,dhc
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20250916,FleetsonlineV2,65509,68222,0.9,2.0,0.0153,0.916667,2.828,0.019854,2961,2961,2.418085497748753,0.06701700352664192,6.351602587152218,0.8225,0.8225,0.023697667442235473,0.07310943180745234,3.08509,0.10370050420168067,2.3754912625487012,0.03708834682,0.023745461897606294,0.03350850176332096,0.07446333725182434,2.222222,0.07469653781512604,3.380196308930844,0.03708834682,0.003785865731910953,0.027714902384152675,0.0814796395460692,2.939921577810034,0.09882089337176585,0.01717016168784327,2.903108470672757,0.015186572290165765,dhc
