nox_device_id,Pilot,MainGroupLabel,SubGroupLabel,name,BrandLabel,TypeOfEquipment,ConstructionYear,Power,EngineClassificationLabel,Machinegroep,TNO_fuel_per_hr,Cat_Vermogen_Seb,MachineId,equipment_id,device_id,datekey,CANBUS_device_id,FF_device_id,CANBUS_validated_duration,CANBUS_validated_fuel,CANBUS_AUB,FF_validated_duration,FF_validated_fuel,FF_AUB,countRows,FuelMassFlow,NOxTotal,C02Total,duration_from_rows,FF_NOxPerLiter,FF_NOxPerUur,FF_FPH,FF_motorbelasting,FF_Diff_AUB,FF_U,FF_A_equivalent,CANBUS_NOxPerLiter,CANBUS_NOxPerUur,CANBUS_FPH,CANBUS_motorbelasting,CANBUS_Diff_AUB,CANBUS_U,CANBUS_A_equivalent,NOxMAF_NOxPerLiter,NOxMAF_NOxPerUur,NOxMAF_FPH,NOxMAF_motorbelasting,NOxMAF_AUB_NoxEmission,NOxMAF_Diff_AUB,NOxMAF_A_equivalent,Belastingtype
69022,Ballast Nedam,Asfaltverdichting,Trilwals,0099,Bomag,BW213D-3,2006,98.0,Stage-II,A,10.778762663489331,56 - 130 kW,2089,566254,69022,20251113,,69021,,,,0.216667,3.982,0.080723,760,2.900238372704798,0.04275353895941992,7.618077015299977,0,0.010736699889357087,0.19732372239159596,18.378433,0.7501401224489797,-0.47036731836750467,0.038220058800000005,,,,,,,,,0.014741387936174171,0.20251687007981545,13.737978469642975,0.5607338150874683,0.05906032245409596,-0.2761038683347915,,dhi
304307,Reinten,Asfaltverwerking,,GAM5028 ,Bomag,BM 500/15,2019,105.0,Stage-V,D,10.274577066005516,56 - 130 kW,1725,304307,304307,20260116,,304307,,,,0.0,0.0,,90,0.04715415265023963,0.002122843881624011,0.12386015227628348,0,,,,,,0.0,,,,,,,,,0.045019235047440154,0.08491375526496044,1.8861661060095851,0.07185394689560325,0.00037963242431129397,4.5918402793837885,-0.020365989241747186,AAM
67833,Heijmans,Asfaltverwerking,Rupsasfaltspreidmachine,15-12-03-0017,Dynapac,SD2500CS/V6000TVE,2024,149.0,Stage-V,D,13.88436292097889,130 - 560 kW,1917,27955,67833,20251027,,67835,,,,14.2,217.561,1.245829,45752,165.05776198495022,0.06428685181100208,433.55841182176437,12,0.00029548885972670687,0.0045272430852818365,15.321197,0.4113073020134228,-0.9483983341124648,0.719372,0.07180620955471158,,,,,,,,0.00038948093708470176,0.00505841674039476,12.987584907896759,0.34865999752742977,0.9548563547187312,-0.9326737980081424,0.07172935241101588,AAM
67937,Heijmans,Grondwals,Trilwals,16-23-01-0005,Hamm,H120i ,2023,85.0,Stage-V,D,8.195813389018399,56 - 130 kW,1921,562829,67937,20251110,,67938,,,,0.25,2.488,0.014685,801,0.923635485705068,0.005505316898657582,2.426119980477,0,0.0022127479496212147,0.022021267594630328,9.952,0.4683294117647059,-0.6251061015554933,0.0072250000000000005,0.06802100788248149,,,,,,,,0.005960486559754721,0.024742997297337446,4.151170722269969,0.19534921045976322,0.00610013162280737,-0.09750850652564202,0.06139998463386783,dhc
68049,SOMA,Lader,Wiellader,,Volvo,L60H,2025,98.0,Stage-V,D,9.255532140820211,56 - 130 kW,2039,564354,68049,20251217,,,,,,,,,15687,21.722977342826155,0.29290605948853954,57.05990099183845,4,,,,,,,,,,,,,,,0.013483697693275433,0.06721883178164992,4.985192735014608,0.20347725449039217,0.13909157765126123,1.1058504363429624,0.04460711425211998,dtc
68249,Ballast Nedam,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,BNSG 2,Komatsu,PC 290-11 14m. RGE,2019,160.0,Stage-V,D,15.377780667681362,130 - 560 kW,802,493788,68249,20251014,56221,56220,7.366667,121.5,0.692933,7.233333,131.758,0.74766,25723,112.21068121835646,0.05954056046838754,294.7446042731614,7,0.0004518933231256359,0.008231414268966678,18.215392,0.45538480000000003,-0.9203641221031117,0.3934933152,0.07135348335472101,0.0004900457651719139,0.008082428657137285,16.493211,0.41233027499999997,-0.9140745779629668,0.3934933152,0.07133284021348385,0.0005306140183974514,0.008332855460801246,15.704175110126094,0.3926043777531524,0.6416640635791251,-0.90720913972293,0.07127776663137012,"dhi, zwaar"
68049,SOMA,Lader,Wiellader,,Volvo,L60H,2025,98.0,Stage-V,D,9.255532140820211,56 - 130 kW,2039,564354,68049,20251210,,,,,,,,,18439,26.760550682209917,0.32875465624262695,70.2921311529255,5,,,,,,,,,,,,,,,0.012285048246827707,0.06418552335648865,5.224686307036921,0.2132525023280376,0.17011669368393356,0.932524369733126,0.04711292827668073,dtc
302135,Boskalis,Hydraulische rupsgraafmachine,Hydraulische rupsgraafmachine > 150 kW,H243,Caterpillar,352,2024,332.0,Stage-V,D,30.294190869734546,130 - 560 kW,2277,302135,302135,20251029,,302135,,,,0.0,299.5,,33750,292.53708823637584,0.3243989006436349,768.4092759375244,9,0.0010831348936348412,,,,,0.0,,,,,,,,,0.0011089154629908469,0.034602549401987724,31.203956078546756,0.3759512780547802,1.62657527647643,-0.8005632414711452,0.0696767839777116,"dhi, zwaar"
304701,Vogelzang,Mobiele graafmachine,Mobiele graafmachine 36-150 kW,T-08-FLD,Komatsu,PW148,2022,110.0,Stage-V,D,10.51934499898803,56 - 130 kW,2547,304701,304701,20260119,,304701,,,,0.0,0.0,,22013,67.53895988551108,0.39348793919686226,177.40507221178186,6,,,,,,0.0,,,,,,,,,0.005826088229133004,0.06435091230588443,11.045303430885504,0.4016473974867456,0.39528399338175957,-0.004543705829147315,0.06005781056779613,dhi
68221,SOMA,Grondwals,Trilwals,THH-59-V,Case,836C,2021,119.0,Stage-V,D,11.412677800506602,56 - 130 kW,1224,562364,68221,20251105,65509,68222,5.5,31.0,0.1949,5.333333,36.782,0.22529,19366,31.77383601814839,0.06386325530587844,83.46056384049061,5,0.0017362638058256335,0.011974361118249779,6.896625,0.23181932773109246,-0.7165286727956037,0.21578665318,0.06954073381203243,0.0020601050098670464,0.011611500964705172,5.636363,0.1894575798319328,-0.6723280897594743,0.21578665318,0.06918911253114457,0.002009932174050417,0.01187172044283358,5.906527889898731,0.19853875260163803,0.19847593449800127,-0.678231743977396,0.06920997574690585,dhc
